# Port list
#   Borrowed heavily from Nmap's port list and 
#     www.simovits.com trojan port list, with additions
#
# format:  port[ut] | description | citation (URL) | date entered
#
1u | tcpmux - TCP Port Service Multiplexer |  | 
2t | compressnet - Management Utility |  | 
3t | compressnet - Compression Process |  | 
5t | rje - Remote Job Entry |  | 
7t | echo |  | 
9t | discard - sink null |  | 
11u | systat - Active Users |  | 
13u | daytime |  | 
15t | netstat |  | 
17t | qotd - Quote of the Day |  | 
18u | msp - Message Send Protocol |  | 
19t | chargen - ttytst source Character Generator |  | 
20u | ftp-data - File Transfer [Default Data] |  | 
21u | ftp - File Transfer [Control] |  | 
22t | ssh - Secure Shell Login |  | 
23t | telnet |  | 
24t | priv-mail - any private mail system |  | 
25t | smtp - Simple Mail Transfer |  | 
27t | nsw-fe - NSW User System FE |  | 
29u | msg-icp - MSG ICP |  | 
30t | Agent 40421 | http://www.simovits.com/trojans/tr_data/y46.html | 2001-06-06
31t | msg-auth - MSG Authentication |  | 
33t | dsp - Display Support Protocol |  | 
35u | priv-print - any private printer server |  | 
37t | time - timserver |  | 
38u | rap - Route Access Protocol |  | 
39u | rlp - Resource Location Protocol |  | 
41t | graphics |  | 
42u | nameserver - Host Name Server |  | 
43u | shois - nicname |  | 
44u | mpm-flags - MPM FLAGS Protocol |  | 
45u | mpm - Message Processing Module [recv] |  | 
46t | mpm-snd - MPM [default send] |  | 
47t | ni-ftp - NI FTP |  | 
48t | auditd - Digital Audit Daemon |  | 
49t | tacacs - Login Host Protocol (TACACS) |  | 
50t | re-mail-ck - Remote Mail Checking Protocol |  | 
51t | la-maint - IMP Logical Address Maintenance |  | 
52t | xns-time - XNS Time Protocol |  | 
53t | domain - Domain Name Server |  | 
54u | xns-ch - XNS Clearinghouse |  | 
55u | isi-gl - ISI Graphics Language |  | 
56t | xns-auth - XNS Authentication |  | 
57t | priv-term - any private terminal access |  | 
58u | xns-mail - XNS Mail |  | 
59u | priv-file - any private file service |  | 
61u | ni-mail - NI MAIL |  | 
62u | acas - ACA Services |  | 
63t | via-ftp - VIA Systems - FTP & whois++ |  | 
64u | covia - Communications Integrator (CI) |  | 
65t | tacacs-ds - TACACS-Database Service |  | 
66u | sql*net - Oracle SQL*NET |  | 
67t | bootps - Bootstrap Protocol Server |  | 
68t | bootpc - Bootstrap Protocol Client |  | 
69t | tftp - Trivial File Transfer |  | 
70u | gopher |  | 
71t | netrjs-1 - Remote Job Service |  | 
72u | netrjs-2 - Remote Job Service |  | 
73t | netrjs-3 - Remote Job Service |  | 
74u | netrjs-4 - Remote Job Service |  | 
75u | priv-dial - any private dial out service |  | 
76u | deos - Distributed External Object Store |  | 
77t | priv-rje - any private RJE service, netrjs |  | 
78t | vettcp |  | 
79t | finger |  | 
80t | http - World Wide Web HTTP |  | 
81t | hosts2-ns - HOSTS2 Name Server |  | 
82t | xfer - XFER Utility |  | 
83u | mit-ml-dev - MIT ML Device |  | 
84t | ctf - Common Trace Facility |  | 
